                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.0139,                0.73187,                  1.486,                 0.5988,                0.59721,                0.60741,                0.31237,                 1.7887,                 1.8661,                 2.4163,              0.0014654,              0.0014654,              0.0014654
                     57,                0.97035,                0.68751,                 1.4635,                0.77055,                0.89648,                0.87872,                0.45493,                 1.6149,                 1.0084,                 2.1298,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.0232,                0.74774,                 1.4579,                  0.832,                0.73333,                0.84024,                0.41593,                 1.7742,                 1.2171,                 2.3535,              0.0014456,              0.0014456,              0.0014456
                     59,                0.99866,                0.73204,                 1.4662,                 0.7474,                    0.6,                0.75482,                0.36263,                 1.7733,                  1.306,                 2.4054,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.0039,                 0.7418,                 1.4452,                0.55923,                0.53333,                0.49536,                0.23868,                 1.9596,                 2.1585,                  2.844,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.0227,                0.69562,                 1.4845,                      1,                0.52751,                0.72085,                0.29151,                 2.0618,                 1.5636,                 2.7375,              0.0014159,              0.0014159,              0.0014159
                     62,                0.99046,                0.70166,                 1.4492,                0.70939,                0.65183,                0.55991,                0.21295,                 2.3928,                 1.8856,                 3.2999,               0.001406,               0.001406,               0.001406
                     63,                0.96409,                0.69883,                 1.4441,                0.74742,                0.66667,                  0.615,                0.26004,                 2.0304,                 1.9975,                 2.7598,              0.0013961,              0.0013961,              0.0013961
                     64,                0.99948,                0.71659,                 1.4733,                0.60847,                0.53333,                 0.5029,                0.27051,                 2.0812,                 2.2264,                 2.7009,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.0316,                0.71783,                 1.4789,                0.66017,                    0.6,                0.64649,                0.23796,                 2.3402,                 1.7779,                 2.9369,              0.0013763,              0.0013763,              0.0013763
                     66,                0.96622,                0.65867,                 1.4531,                0.71219,                    0.8,                0.77143,                0.35174,                 2.0686,                 1.6144,                 2.6959,              0.0013664,              0.0013664,              0.0013664
                     67,                0.93616,                 0.6765,                 1.3864,                0.48115,                0.46667,                0.40312,                0.20085,                 2.3022,                 1.9633,                 2.8374,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.0161,                0.70195,                 1.4686,                0.50094,                0.53333,                0.60767,                0.32732,                 1.9947,                 1.7071,                 2.5157,              0.0013466,              0.0013466,              0.0013466
                     69,                0.95212,                0.68217,                 1.4167,                0.89308,                0.66667,                0.79739,                0.43671,                 1.9466,                 1.2856,                 2.3727,              0.0013367,              0.0013367,              0.0013367
                     70,                0.94577,                0.63665,                 1.3798,                0.90664,                    0.8,                0.85971,                0.41866,                 1.9689,                 1.0408,                 2.3913,              0.0013268,              0.0013268,              0.0013268
                     71,                0.93655,                0.65329,                 1.3972,                0.91243,                    0.8,                0.90738,                0.52118,                 1.5891,                0.90401,                 2.1761,              0.0013169,              0.0013169,              0.0013169
                     72,                0.93113,                 0.6605,                 1.4301,                0.59199,                    0.8,                0.71848,                0.37124,                 1.7337,                 1.3385,                 2.2672,               0.001307,               0.001307,               0.001307
                     73,                0.90127,                0.61388,                 1.3869,                   0.74,                    0.6,                0.60773,                0.33805,                 1.8333,                 1.3994,                 2.4489,              0.0012971,              0.0012971,              0.0012971
                     74,                0.89212,                0.60811,                 1.3665,                0.64213,                0.66667,                0.60072,                0.31098,                 1.8322,                 1.2149,                  2.381,              0.0012872,              0.0012872,              0.0012872
                     75,                0.90972,                0.60323,                 1.3906,                 0.8581,                0.86667,                0.86061,                0.39004,                 1.7972,                  1.362,                 2.5625,              0.0012773,              0.0012773,              0.0012773
                     76,                 0.9573,                0.70619,                  1.427,                  0.905,                    0.8,                0.88472,                 0.4327,                 1.6632,                 1.1259,                 2.2614,              0.0012674,              0.0012674,              0.0012674
                     77,                0.89779,                0.63851,                  1.371,                0.91445,                    0.8,                0.84989,                0.46194,                 1.7578,                0.99955,                 2.4595,              0.0012575,              0.0012575,              0.0012575
                     78,                0.93358,                0.67856,                  1.404,                0.91207,                    0.8,                0.85545,                0.42655,                 1.8778,                  1.066,                 2.5813,              0.0012476,              0.0012476,              0.0012476
                     79,                0.92502,                0.65983,                 1.4031,                0.76639,                0.66667,                0.70081,                0.30814,                 2.1016,                 1.5616,                 3.0119,              0.0012377,              0.0012377,              0.0012377
                     80,                0.88563,                 0.6286,                 1.3797,                0.77189,                0.73333,                0.76298,                0.31254,                 1.9763,                 1.3051,                 2.6697,              0.0012278,              0.0012278,              0.0012278
                     81,                0.86706,                0.60943,                 1.3632,                0.72112,                0.53333,                0.60281,                 0.3174,                 1.9694,                 1.4237,                 2.6546,              0.0012179,              0.0012179,              0.0012179
                     82,                0.92312,                0.61087,                 1.3783,                0.87018,                    0.6,                0.62443,                 0.3185,                  2.037,                 1.5083,                 2.8177,               0.001208,               0.001208,               0.001208
                     83,                0.89693,                0.62802,                 1.3858,                0.88975,                    0.6,                0.70221,                0.35083,                 2.0017,                  1.396,                 2.6053,              0.0011981,              0.0011981,              0.0011981
                     84,                 0.8892,                 0.6097,                 1.3646,                 0.7185,                0.53333,                0.55823,                0.29203,                 1.9548,                 1.7685,                 2.6504,              0.0011882,              0.0011882,              0.0011882
                     85,                0.86215,                0.59303,                 1.3471,                 0.7461,                    0.6,                0.56721,                0.29658,                 1.9095,                 1.9186,                 2.6552,              0.0011783,              0.0011783,              0.0011783
                     86,                0.87086,                0.59886,                 1.3554,                0.81548,                 0.5901,                0.59613,                0.32643,                 1.9326,                   1.64,                 2.6707,              0.0011684,              0.0011684,              0.0011684
                     87,                0.89287,                0.61013,                 1.3657,                0.74525,                0.58605,                0.59261,                0.25238,                 1.9321,                 1.5001,                 2.6513,              0.0011585,              0.0011585,              0.0011585
                     88,                0.89101,                0.62363,                 1.3615,                0.81818,                0.53333,                0.62503,                0.30446,                 2.0228,                 1.6142,                   2.84,              0.0011486,              0.0011486,              0.0011486
                     89,                 0.8893,                0.63064,                 1.3763,                0.88415,                    0.6,                0.73238,                0.38944,                 1.7675,                 1.4175,                 2.4123,              0.0011387,              0.0011387,              0.0011387
                     90,                0.86051,                0.59733,                 1.3564,                0.81291,                    0.8,                0.86709,                 0.4396,                 1.6624,                 1.0228,                 2.3143,              0.0011288,              0.0011288,              0.0011288
                     91,                0.84561,                0.60473,                 1.3134,                0.62369,                0.73333,                0.80253,                0.35167,                 2.0367,                 1.3636,                 2.7358,              0.0011189,              0.0011189,              0.0011189
                     92,                0.85311,                0.56355,                 1.3438,                0.74609,                0.78437,                0.83508,                0.36265,                 2.0873,                 1.3731,                 2.9207,               0.001109,               0.001109,               0.001109
                     93,                0.81887,                 0.5485,                 1.2945,                0.87616,                0.86667,                0.89345,                0.44687,                 1.9082,                 1.0203,                 2.6884,              0.0010991,              0.0010991,              0.0010991
                     94,                0.82337,                0.62083,                 1.3382,                0.71936,                0.85501,                0.86225,                0.41569,                 1.9788,                 1.0313,                 2.5573,              0.0010892,              0.0010892,              0.0010892
                     95,                0.82143,                0.56364,                 1.3282,                0.69782,                0.66667,                0.66796,                0.31882,                 1.9587,                 1.0993,                 2.5773,              0.0010793,              0.0010793,              0.0010793
                     96,                0.81652,                0.57177,                 1.3189,                0.91584,                0.72603,                0.84688,                0.43802,                 1.7189,                0.89692,                 2.3742,              0.0010694,              0.0010694,              0.0010694
                     97,                0.79779,                 0.5444,                 1.3143,                 0.6924,                    0.8,                0.79874,                0.37809,                 1.8864,                 1.4768,                 2.5273,              0.0010595,              0.0010595,              0.0010595
                     98,                 0.8475,                0.54279,                  1.323,                0.74768,                0.59319,                0.61572,                0.31506,                 1.8858,                 1.5967,                 2.7605,              0.0010496,              0.0010496,              0.0010496
                     99,                0.78469,                0.53039,                 1.2884,                 0.7639,                0.66667,                  0.636,                0.34666,                 1.7204,                 1.6409,                 2.4638,              0.0010397,              0.0010397,              0.0010397
                    100,                0.78504,                0.52975,                 1.2976,                0.90202,                0.73333,                0.80006,                0.36104,                  1.817,                 1.2214,                 2.5387,              0.0010298,              0.0010298,              0.0010298
                    101,                0.74578,                0.53403,                 1.2579,                0.79785,                    0.6,                0.63577,                0.34131,                 1.7887,                 1.6422,                 2.5437,              0.0010199,              0.0010199,              0.0010199
                    102,                0.79619,                0.52263,                 1.2896,                 0.6582,                0.66667,                0.69795,                0.36665,                 1.8776,                 1.6929,                 2.5145,                0.00101,                0.00101,                0.00101
                    103,                 0.7766,                0.52919,                 1.2923,                0.66272,                0.73333,                0.63676,                0.32098,                 1.9871,                 1.6255,                 2.8319,              0.0010001,              0.0010001,              0.0010001
                    104,                0.78363,                0.52877,                 1.2996,                0.78498,                0.73036,                0.79732,                0.43234,                 1.6224,                 1.6825,                 2.1852,              0.0009902,              0.0009902,              0.0009902
                    105,                0.78025,                0.53739,                 1.2928,                0.70505,                0.79698,                0.81642,                0.40124,                 1.8091,                 1.4303,                 2.4242,              0.0009803,              0.0009803,              0.0009803
                    106,                 0.7734,                0.52266,                 1.2778,                0.85042,                    0.8,                0.82054,                0.40445,                 1.9587,                 1.0624,                 2.7357,              0.0009704,              0.0009704,              0.0009704
                    107,                 0.7747,                0.53685,                 1.2804,                0.91827,                0.86667,                0.93241,                0.46909,                  1.707,                 1.0021,                 2.2574,              0.0009605,              0.0009605,              0.0009605
                    108,                0.80477,                0.53046,                 1.2829,                0.85261,                0.86667,                0.91142,                0.53372,                 1.5445,                0.85138,                 2.1444,              0.0009506,              0.0009506,              0.0009506
                    109,                0.76493,                0.50689,                 1.2624,                0.85366,                0.77885,                 0.9039,                0.53345,                 1.5492,                0.96859,                 2.1895,              0.0009407,              0.0009407,              0.0009407
                    110,                0.71496,                0.47336,                 1.2319,                0.87024,                0.73333,                0.89138,                 0.5261,                 1.6784,                 1.0478,                 2.2731,              0.0009308,              0.0009308,              0.0009308
                    111,                0.77069,                0.52707,                 1.3078,                 0.7827,                0.72116,                 0.8467,                0.46222,                 1.7855,                 1.0819,                 2.4392,              0.0009209,              0.0009209,              0.0009209
                    112,                0.75931,                0.51341,                 1.2828,                0.88175,                0.99451,                0.96441,                0.52823,                 1.5882,                0.72485,                 2.3066,               0.000911,               0.000911,               0.000911
                    113,                0.77016,                0.53921,                 1.2678,                0.82024,                0.91347,                0.94244,                0.50887,                 1.7026,                 0.8227,                 2.3598,              0.0009011,              0.0009011,              0.0009011
                    114,                0.71021,                0.51286,                 1.2318,                 0.8658,                0.86058,                0.89673,                0.49884,                 1.7994,                 1.0056,                 2.3726,              0.0008912,              0.0008912,              0.0008912
                    115,                0.76364,                0.50832,                 1.2571,                0.84543,                    0.8,                0.83554,                 0.4338,                 1.8175,                 1.2004,                 2.4436,              0.0008813,              0.0008813,              0.0008813
                    116,                0.73962,                0.51197,                 1.2401,                0.82972,                0.65077,                0.73465,                0.37191,                 1.8657,                  1.485,                 2.6155,              0.0008714,              0.0008714,              0.0008714
                    117,                0.72916,                0.48628,                 1.2432,                0.89702,                0.58215,                0.71804,                0.38183,                 1.8719,                 1.4977,                 2.7093,              0.0008615,              0.0008615,              0.0008615
                    118,                0.72113,                0.50413,                 1.2522,                0.83082,                0.65562,                0.69302,                0.34858,                 1.9548,                 1.5221,                 2.9141,              0.0008516,              0.0008516,              0.0008516
                    119,                0.72096,                0.49197,                 1.2547,                0.62756,                0.66667,                0.60522,                0.29521,                 2.1553,                 1.7301,                 2.9533,              0.0008417,              0.0008417,              0.0008417
                    120,                0.72545,                0.48805,                 1.2399,                0.75433,                0.46667,                0.54269,                0.25733,                 2.0822,                 1.7903,                 2.8062,              0.0008318,              0.0008318,              0.0008318
                    121,                0.72858,                0.47803,                 1.2316,                0.71732,                0.53333,                0.50884,                0.26045,                 2.1563,                 1.6481,                 3.1505,              0.0008219,              0.0008219,              0.0008219
                    122,                0.75797,                0.48102,                 1.2821,                0.80884,                    0.6,                0.62821,                0.25569,                  2.287,                 1.7421,                 3.3645,               0.000812,               0.000812,               0.000812
                    123,                0.69283,                0.45364,                 1.2341,                0.76186,                0.46667,                0.61293,                0.26263,                 2.1245,                 1.7701,                  3.191,              0.0008021,              0.0008021,              0.0008021
                    124,                0.66986,                0.45188,                 1.2173,                0.78332,                0.53333,                0.64698,                0.28249,                 2.1783,                 1.7504,                 2.9379,              0.0007922,              0.0007922,              0.0007922
                    125,                 0.7353,                0.48292,                   1.24,                0.80636,                    0.6,                0.63182,                0.30605,                 1.9403,                 1.7412,                 2.6541,              0.0007823,              0.0007823,              0.0007823
                    126,                 0.7103,                0.49536,                 1.2155,                0.90888,                0.66511,                0.68333,                0.28228,                 2.0358,                 1.7719,                 2.7584,              0.0007724,              0.0007724,              0.0007724
                    127,                0.71837,                0.50718,                 1.2425,                0.83265,                0.66366,                0.66314,                0.34287,                  1.999,                 1.5427,                 2.7172,              0.0007625,              0.0007625,              0.0007625
                    128,                0.66826,                0.45574,                   1.18,                0.73306,                0.73239,                0.63348,                0.29738,                 2.0852,                 1.5838,                 2.8566,              0.0007526,              0.0007526,              0.0007526
                    129,                0.66988,                0.45916,                 1.1973,                0.74862,                0.59595,                0.66249,                0.29996,                 1.9684,                 1.7198,                 2.6714,              0.0007427,              0.0007427,              0.0007427
                    130,                0.68403,                0.45619,                 1.2165,                0.84152,                    0.6,                0.68398,                0.33953,                 1.8783,                 1.6616,                 2.4885,              0.0007328,              0.0007328,              0.0007328
                    131,                0.66676,                0.47113,                 1.2096,                0.68608,                    0.6,                0.64934,                0.36276,                 1.9058,                 1.6332,                 2.6399,              0.0007229,              0.0007229,              0.0007229
                    132,                0.68061,                0.48883,                 1.2418,                0.85248,                0.66667,                0.76147,                0.37561,                 1.9161,                  1.541,                  2.777,               0.000713,               0.000713,               0.000713
                    133,                0.63778,                0.44062,                 1.2042,                0.76103,                0.66667,                  0.688,                0.33134,                  2.089,                 1.6466,                 2.8866,              0.0007031,              0.0007031,              0.0007031
                    134,                0.66776,                0.45095,                 1.2076,                  0.709,                0.66667,                0.68269,                0.34702,                 2.0049,                 1.7839,                 2.6969,              0.0006932,              0.0006932,              0.0006932
                    135,                 0.6552,                0.44002,                 1.1884,                0.85637,                    0.6,                0.69639,                0.26858,                 2.0974,                 1.9892,                 2.8136,              0.0006833,              0.0006833,              0.0006833
                    136,                0.65668,                0.44032,                 1.1817,                0.74958,                    0.6,                0.74052,                0.32893,                 1.9719,                 1.6477,                 2.6867,              0.0006734,              0.0006734,              0.0006734
                    137,                 0.6331,                0.41658,                  1.167,                0.79526,                0.66667,                0.82128,                0.41044,                 1.8289,                 1.4998,                 2.4935,              0.0006635,              0.0006635,              0.0006635
